,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne
0,0.7,4,0.49324324324324326,0.39864864864864863
1,0.7,5,0.5666666666666667,0.49444444444444446
2,0.7,6,0.78,0.54
3,0.7,7,0.7023809523809523,0.5297619047619048
4,0.7,8,0.6081081081081081,0.5337837837837838
5,0.7,9,0.6606060606060605,0.5272727272727272
6,0.7,10,0.68,0.44
7,0.7,11,0.6111111111111112,0.5123456790123457
8,0.7,12,0.6733333333333333,0.5333333333333333
9,0.7,13,0.6645962732919255,0.4596273291925467
10,0.7,14,0.6870748299319727,0.4625850340136055
11,0.7,15,0.70625,0.44375
12,0.7,16,0.5416666666666666,0.5
13,0.7,17,0.5620915032679739,0.5620915032679739
14,0.7,18,0.6666666666666667,0.4722222222222222
15,0.7,19,0.6199999999999999,0.4666666666666667
16,0.7,20,0.5466666666666667,0.5
17,0.7,21,0.5519480519480521,0.5389610389610391
18,0.7,22,0.6573426573426573,0.5104895104895104
19,0.7,23,0.6025641025641025,0.5641025641025641
20,0.7,24,0.5416666666666666,0.5208333333333334
21,0.7,25,0.5512820512820512,0.44230769230769235
22,0.7,26,0.5804195804195804,0.43356643356643365
23,0.7,27,0.5909090909090908,0.48701298701298706
24,0.7,28,0.5428571428571429,0.5285714285714286
25,0.7,29,0.64,0.5933333333333334
26,0.7,30,0.6666666666666667,0.5133333333333334
27,0.7,31,0.5902777777777778,0.5555555555555556
28,0.7,32,0.5,0.5208333333333334
29,0.7,33,0.5098039215686274,0.5359477124183007
30,0.7,34,0.6838235294117647,0.5
31,0.7,35,0.5902777777777778,0.5416666666666666
32,0.7,36,0.4513888888888889,0.4722222222222222
33,0.7,37,0.6513157894736842,0.5526315789473685
34,0.7,38,0.5112781954887219,0.4962406015037594
35,0.7,39,0.4571428571428572,0.46428571428571436
36,0.7,40,0.6357142857142858,0.5214285714285715
37,0.7,41,0.5646258503401361,0.5442176870748299
38,0.7,42,0.5714285714285714,0.4421768707482993
39,0.7,43,0.5303030303030303,0.5227272727272728
40,0.7,44,0.5151515151515151,0.5151515151515151
41,0.7,45,0.5579710144927537,0.5289855072463768
42,0.7,46,0.49275362318840576,0.49275362318840576
43,0.7,47,0.4791666666666667,0.48611111111111116
44,0.7,48,0.5208333333333335,0.48611111111111116
45,0.7,49,0.5,0.5333333333333333
46,0.7,50,0.5066666666666667,0.48666666666666664
47,0.7,60,0.48,0.48
48,0.7,70,0.5,0.4714285714285714
49,0.7,80,0.49166666666666664,0.43333333333333335
50,0.7,90,0.4444444444444444,0.45925925925925926
51,0.7,100,0.5466666666666667,0.54
52,0.7,150,0.5266666666666666,0.5333333333333333
53,0.7,200,0.54,0.55
54,0.7,250,0.43200000000000005,0.42400000000000004
