,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne
0,0.7,4,0.5878378378378378,0.5
1,0.7,5,0.5722222222222222,0.5111111111111112
2,0.7,6,0.5666666666666668,0.5466666666666667
3,0.7,7,0.5654761904761905,0.47023809523809523
4,0.7,8,0.5472972972972973,0.4594594594594595
5,0.7,9,0.5757575757575758,0.4606060606060606
6,0.7,10,0.6466666666666667,0.48000000000000015
7,0.7,11,0.6049382716049384,0.44444444444444453
8,0.7,12,0.6,0.4600000000000001
9,0.7,13,0.5869565217391305,0.45652173913043476
10,0.7,14,0.6394557823129251,0.435374149659864
11,0.7,15,0.575,0.58125
12,0.7,16,0.6388888888888888,0.5138888888888888
13,0.7,17,0.6993464052287583,0.5163398692810458
14,0.7,18,0.6319444444444444,0.4722222222222222
15,0.7,19,0.6799999999999999,0.52
16,0.7,20,0.7533333333333335,0.5066666666666666
17,0.7,21,0.6883116883116882,0.5454545454545456
18,0.7,22,0.7132867132867132,0.4895104895104895
19,0.7,23,0.7243589743589745,0.4487179487179487
20,0.7,24,0.6597222222222222,0.4861111111111111
21,0.7,25,0.673076923076923,0.5
22,0.7,26,0.6573426573426573,0.5104895104895104
23,0.7,27,0.7207792207792209,0.525974025974026
24,0.7,28,0.6928571428571428,0.5142857142857143
25,0.7,29,0.74,0.4533333333333333
26,0.7,30,0.74,0.5
27,0.7,31,0.7291666666666666,0.5277777777777778
28,0.7,32,0.7361111111111112,0.5347222222222222
29,0.7,33,0.8366013071895425,0.42483660130718953
30,0.7,34,0.7867647058823529,0.5073529411764706
31,0.7,35,0.7569444444444444,0.5902777777777778
32,0.7,36,0.8194444444444444,0.7291666666666667
33,0.7,37,0.7631578947368421,0.611842105263158
34,0.7,38,0.8345864661654135,0.556390977443609
35,0.7,39,0.7857142857142857,0.5928571428571427
36,0.7,40,0.8642857142857141,0.5714285714285714
37,0.7,41,0.891156462585034,0.6326530612244898
38,0.7,42,0.7687074829931974,0.5918367346938777
39,0.7,43,0.8333333333333334,0.5454545454545455
40,0.7,44,0.856060606060606,0.6969696969696969
41,0.7,45,0.818840579710145,0.6521739130434783
42,0.7,46,0.818840579710145,0.7028985507246377
43,0.7,47,0.7777777777777778,0.75
44,0.7,48,0.8541666666666666,0.7291666666666666
45,0.7,49,0.8541666666666666,0.7291666666666666
46,0.7,50,0.8333333333333334,0.6733333333333333
47,0.7,60,0.8,0.7266666666666668
48,0.7,70,0.8571428571428571,0.7571428571428571
49,0.7,80,0.8249999999999998,0.85
50,0.7,90,0.9333333333333332,0.9037037037037038
51,0.7,100,0.9266666666666666,0.7933333333333333
52,0.7,150,0.9533333333333334,0.8999999999999999
53,0.7,200,0.95,0.97
54,0.7,250,0.944,0.928
