,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne
0,0.2,4,0.722972972972973,0.4864864864864865
1,0.2,5,0.6722222222222222,0.5000000000000001
2,0.2,6,0.8466666666666667,0.56
3,0.2,7,0.7738095238095238,0.44047619047619047
4,0.2,8,0.8108108108108109,0.4797297297297297
5,0.2,9,0.9090909090909091,0.49696969696969695
6,0.2,10,0.9133333333333336,0.52
7,0.2,11,0.882716049382716,0.5123456790123457
8,0.2,12,0.9133333333333334,0.4466666666666667
9,0.2,13,0.9202898550724636,0.45652173913043476
10,0.2,14,0.9591836734693879,0.5034013605442177
11,0.2,15,0.89375,0.41875
12,0.2,16,0.9305555555555556,0.4930555555555556
13,0.2,17,0.9411764705882353,0.5228758169934641
14,0.2,18,0.9722222222222222,0.5208333333333334
15,0.2,19,0.9400000000000001,0.49999999999999994
16,0.2,20,0.9866666666666667,0.49999999999999994
17,0.2,21,0.974025974025974,0.5324675324675324
18,0.2,22,0.9580419580419579,0.4335664335664336
19,0.2,23,0.9551282051282051,0.4230769230769231
20,0.2,24,0.9583333333333334,0.5625
21,0.2,25,0.9743589743589745,0.47435897435897445
22,0.2,26,0.9720279720279721,0.4615384615384616
23,0.2,27,0.987012987012987,0.4285714285714286
24,0.2,28,0.9928571428571429,0.42142857142857143
25,0.2,29,0.9466666666666667,0.48
26,0.2,30,0.9733333333333334,0.52
27,0.2,31,0.9930555555555556,0.4722222222222222
28,0.2,32,0.9583333333333334,0.5694444444444444
29,0.2,33,0.9803921568627452,0.7320261437908496
30,0.2,34,0.9485294117647058,0.7058823529411764
31,0.2,35,0.9583333333333333,0.8611111111111112
32,0.2,36,0.9861111111111112,0.8958333333333334
33,0.2,37,0.986842105263158,0.9671052631578947
34,0.2,38,0.9849624060150377,0.9323308270676692
35,0.2,39,0.9714285714285715,0.9714285714285715
36,0.2,40,0.9714285714285715,0.9285714285714287
37,0.2,41,0.9863945578231293,0.9727891156462586
38,0.2,42,0.979591836734694,0.979591836734694
39,0.2,43,0.9696969696969697,0.9924242424242425
40,0.2,44,0.9696969696969697,0.9696969696969697
41,0.2,45,0.9637681159420289,0.9782608695652174
42,0.2,46,0.9782608695652174,0.9710144927536231
43,0.2,47,0.9930555555555557,0.9930555555555557
44,0.2,48,1.0,0.9930555555555555
45,0.2,49,1.0,0.9930555555555555
46,0.2,50,0.9533333333333333,0.9733333333333333
47,0.2,60,0.9666666666666668,0.9866666666666667
48,0.2,70,0.9928571428571429,1.0
49,0.2,80,0.9916666666666667,1.0
50,0.2,90,0.9925925925925926,1.0
51,0.2,100,0.9866666666666667,1.0
52,0.2,150,0.9933333333333334,1.0
53,0.2,200,1.0,1.0
54,0.2,250,0.992,1.0
