,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne
0,1,4,0.5608108108108109,0.4391891891891892
1,1,5,0.5666666666666667,0.5666666666666668
2,1,6,0.5333333333333334,0.54
3,1,7,0.5178571428571429,0.5773809523809523
4,1,8,0.5405405405405406,0.5067567567567568
5,1,9,0.5454545454545454,0.4545454545454545
6,1,10,0.4933333333333333,0.5133333333333333
7,1,11,0.47530864197530875,0.4320987654320988
8,1,12,0.54,0.5133333333333333
9,1,13,0.5434782608695652,0.5289855072463768
10,1,14,0.5510204081632653,0.4965986394557823
11,1,15,0.5875,0.51875
12,1,16,0.5763888888888888,0.5902777777777778
13,1,17,0.6209150326797386,0.5359477124183006
14,1,18,0.6319444444444444,0.47222222222222227
15,1,19,0.6333333333333333,0.5333333333333333
16,1,20,0.6066666666666668,0.46666666666666656
17,1,21,0.62987012987013,0.5779220779220778
18,1,22,0.5314685314685315,0.5454545454545452
19,1,23,0.6794871794871794,0.5448717948717949
20,1,24,0.5972222222222222,0.5416666666666667
21,1,25,0.6153846153846154,0.5
22,1,26,0.6153846153846154,0.5104895104895104
23,1,27,0.6948051948051948,0.5649350649350648
24,1,28,0.5142857142857142,0.43571428571428567
25,1,29,0.6666666666666667,0.43999999999999995
26,1,30,0.64,0.5133333333333334
27,1,31,0.6736111111111112,0.4861111111111111
28,1,32,0.6666666666666666,0.5763888888888888
29,1,33,0.6339869281045751,0.43790849673202614
30,1,34,0.6544117647058824,0.5367647058823529
31,1,35,0.6388888888888888,0.5555555555555556
32,1,36,0.6388888888888888,0.5486111111111112
33,1,37,0.611842105263158,0.5394736842105263
34,1,38,0.7067669172932332,0.6541353383458647
35,1,39,0.6428571428571427,0.5285714285714286
36,1,40,0.65,0.6285714285714287
37,1,41,0.5918367346938777,0.6462585034013605
38,1,42,0.5442176870748299,0.619047619047619
39,1,43,0.643939393939394,0.5833333333333333
40,1,44,0.606060606060606,0.6363636363636364
41,1,45,0.6739130434782609,0.5579710144927535
42,1,46,0.6739130434782608,0.5652173913043479
43,1,47,0.6319444444444444,0.5416666666666665
44,1,48,0.576388888888889,0.5694444444444444
45,1,49,0.576388888888889,0.5694444444444444
46,1,50,0.6666666666666666,0.5066666666666667
47,1,60,0.6933333333333334,0.5733333333333333
48,1,70,0.6785714285714285,0.5285714285714286
49,1,80,0.75,0.5416666666666666
50,1,90,0.7555555555555555,0.6518518518518519
51,1,100,0.8266666666666667,0.6533333333333333
52,1,150,0.76,0.8133333333333332
53,1,200,0.9,0.79
54,1,250,0.856,0.736
