,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_umap
0,0.7,4,0.5878378378378378,0.5878378378378378
1,0.7,5,0.5888888888888888,0.5833333333333334
2,0.7,6,0.5466666666666667,0.5666666666666668
3,0.7,7,0.5297619047619048,0.625
4,0.7,8,0.5608108108108109,0.6486486486486487
5,0.7,9,0.5757575757575758,0.6727272727272728
6,0.7,10,0.6066666666666668,0.6666666666666666
7,0.7,11,0.617283950617284,0.6666666666666669
8,0.7,12,0.5866666666666667,0.5733333333333334
9,0.7,13,0.5579710144927535,0.6521739130434784
10,0.7,14,0.6122448979591837,0.7142857142857142
11,0.7,15,0.675,0.7
12,0.7,16,0.7152777777777778,0.6805555555555556
13,0.7,17,0.6862745098039217,0.6797385620915034
14,0.7,18,0.6319444444444445,0.7569444444444445
15,0.7,19,0.5933333333333334,0.6799999999999999
16,0.7,20,0.7666666666666668,0.7333333333333335
17,0.7,21,0.7142857142857143,0.7402597402597403
18,0.7,22,0.7482517482517482,0.7342657342657343
19,0.7,23,0.6666666666666667,0.8269230769230769
20,0.7,24,0.7152777777777777,0.7569444444444445
21,0.7,25,0.6794871794871794,0.6474358974358974
22,0.7,26,0.6503496503496504,0.7552447552447551
23,0.7,27,0.7142857142857142,0.6428571428571428
24,0.7,28,0.7,0.7357142857142857
25,0.7,29,0.7000000000000001,0.7666666666666668
26,0.7,30,0.7733333333333334,0.7799999999999999
27,0.7,31,0.7361111111111112,0.8263888888888888
28,0.7,32,0.7569444444444444,0.7638888888888888
29,0.7,33,0.7843137254901961,0.7254901960784313
30,0.7,34,0.8088235294117647,0.8602941176470589
31,0.7,35,0.7569444444444444,0.8125
32,0.7,36,0.8194444444444444,0.7986111111111112
33,0.7,37,0.8092105263157895,0.8355263157894738
34,0.7,38,0.8345864661654135,0.7894736842105263
35,0.7,39,0.7214285714285714,0.8428571428571429
36,0.7,40,0.8214285714285714,0.7857142857142857
37,0.7,41,0.7755102040816327,0.8299319727891156
38,0.7,42,0.836734693877551,0.8163265306122449
39,0.7,43,0.8560606060606061,0.8106060606060606
40,0.7,44,0.8257575757575758,0.8106060606060606
41,0.7,45,0.7753623188405797,0.7318840579710145
42,0.7,46,0.8188405797101449,0.8405797101449276
43,0.7,47,0.8680555555555555,0.8819444444444443
44,0.7,48,0.8541666666666666,0.8402777777777777
45,0.7,49,0.8541666666666666,0.7777777777777778
46,0.7,50,0.8733333333333334,0.8933333333333332
47,0.7,60,0.9533333333333334,0.9
48,0.7,70,0.8142857142857143,0.9071428571428571
49,0.7,80,0.9416666666666668,0.9
50,0.7,90,0.8814814814814814,0.8444444444444444
51,0.7,100,0.8933333333333332,0.8933333333333334
52,0.7,150,0.9533333333333334,0.9266666666666666
53,0.7,200,0.96,0.88
54,0.7,250,0.944,0.92
