,Noise_sigma,data_points_number,correct_predicted_percent_pca
0,10,4,0.565
1,10,5,0.5166666666666666
2,10,6,0.8233333333333335
3,10,7,0.75
4,10,8,0.7075
5,10,9,0.652
6,10,10,0.706
7,10,11,0.6833333333333331
8,10,12,0.7066666666666666
9,10,13,0.68
10,10,14,0.6928571428571427
11,10,15,0.685
12,10,16,0.69375
13,10,17,0.6722222222222223
14,10,18,0.6722222222222222
15,10,19,0.639
16,10,20,0.648
17,10,21,0.6218181818181818
18,10,22,0.6827272727272726
19,10,23,0.6525000000000002
20,10,24,0.595
21,10,25,0.6676923076923075
22,10,26,0.6261538461538462
23,10,27,0.6261538461538462
24,10,28,0.6042857142857142
25,10,29,0.6166666666666666
26,10,30,0.6146666666666668
27,10,31,0.6275
28,10,32,0.594375
29,10,33,0.6205882352941176
30,10,34,0.5847058823529412
31,10,35,0.6138888888888889
32,10,36,0.5972222222222222
33,10,37,0.6368421052631579
34,10,38,0.5847368421052631
35,10,39,0.5900000000000001
36,10,40,0.614
37,10,41,0.6138095238095239
38,10,42,0.5852380952380952
39,10,43,0.614090909090909
40,10,44,0.6
41,10,45,0.6047826086956521
42,10,46,0.5921739130434783
43,10,47,0.6020833333333333
44,10,48,0.6029166666666667
45,10,49,0.6029166666666667
46,10,50,0.5932
47,10,60,0.6013333333333333
48,10,70,0.5854285714285714
49,10,80,0.5772499999999999
50,10,90,0.5768888888888889
51,10,100,0.5702
52,10,150,0.5506666666666666
53,10,200,0.5506666666666666
54,10,250,0.5528333333333334
