,Noise_sigma,data_points_number,correct_predicted_percent_pca
0,50,4,0.555
1,50,5,0.5266666666666666
2,50,6,0.8266666666666667
3,50,7,0.735
4,50,8,0.695
5,50,9,0.6519999999999999
6,50,10,0.726
7,50,11,0.6766666666666665
8,50,12,0.7033333333333333
9,50,13,0.6785714285714286
10,50,14,0.7057142857142857
11,50,15,0.67
12,50,16,0.7025
13,50,17,0.6688888888888889
14,50,18,0.6644444444444444
15,50,19,0.6460000000000001
16,50,20,0.632
17,50,21,0.6227272727272727
18,50,22,0.6727272727272728
19,50,23,0.6408333333333335
20,50,24,0.6066666666666666
21,50,25,0.6576923076923076
22,50,26,0.6276923076923077
23,50,27,0.6276923076923077
24,50,28,0.6014285714285714
25,50,29,0.6073333333333333
26,50,30,0.6099999999999999
27,50,31,0.6125
28,50,32,0.600625
29,50,33,0.6105882352941177
30,50,34,0.59
31,50,35,0.6116666666666667
32,50,36,0.5972222222222222
33,50,37,0.6405263157894737
34,50,38,0.5842105263157895
35,50,39,0.6074999999999999
36,50,40,0.621
37,50,41,0.6033333333333332
38,50,42,0.579047619047619
39,50,43,0.615909090909091
40,50,44,0.6136363636363636
41,50,45,0.6173913043478262
42,50,46,0.5991304347826087
43,50,47,0.6029166666666667
44,50,48,0.5883333333333334
45,50,49,0.5883333333333334
46,50,50,0.5928
47,50,60,0.588
48,50,70,0.5865714285714286
49,50,80,0.56975
50,50,90,0.5735555555555556
51,50,100,0.5571999999999999
52,50,150,0.5548333333333333
53,50,200,0.5456666666666667
54,50,250,0.5445000000000001
