,Noise_sigma,data_points_number,correct_predicted_percent_pca
0,40,4,0.46
1,40,5,0.4866666666666667
2,40,6,0.7966666666666669
3,40,7,0.7275
4,40,8,0.7325
5,40,9,0.65
6,40,10,0.654
7,40,11,0.6899999999999998
8,40,12,0.6883333333333335
9,40,13,0.7185714285714287
10,40,14,0.7071428571428572
11,40,15,0.67375
12,40,16,0.705
13,40,17,0.701111111111111
14,40,18,0.6244444444444444
15,40,19,0.638
16,40,20,0.659
17,40,21,0.6881818181818181
18,40,22,0.6972727272727275
19,40,23,0.6366666666666667
20,40,24,0.6516666666666667
21,40,25,0.6300000000000001
22,40,26,0.6646153846153847
23,40,27,0.6646153846153847
24,40,28,0.6321428571428571
25,40,29,0.6426666666666666
26,40,30,0.6186666666666666
27,40,31,0.605625
28,40,32,0.614375
29,40,33,0.6223529411764706
30,40,34,0.6235294117647058
31,40,35,0.6155555555555555
32,40,36,0.5961111111111113
33,40,37,0.6236842105263158
34,40,38,0.6068421052631578
35,40,39,0.6149999999999999
36,40,40,0.5894999999999999
37,40,41,0.6276190476190476
38,40,42,0.5904761904761905
39,40,43,0.5945454545454545
40,40,44,0.5913636363636363
41,40,45,0.5639130434782609
42,40,46,0.602608695652174
43,40,47,0.5754166666666667
44,40,48,0.6075
45,40,49,0.6075
46,40,50,0.6232
47,40,60,0.577
48,40,70,0.5897142857142856
49,40,80,0.557
50,40,90,0.5664444444444444
51,40,100,0.5672
52,40,150,0.5521666666666667
53,40,200,0.5411666666666667
54,40,250,0.5333333333333333
