,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne
0,2,4,0.5055555555555555,0.55
1,2,5,0.49074074074074087,0.5185185185185186
2,2,6,0.48333333333333345,0.49444444444444446
3,2,7,0.5245098039215687,0.4950980392156863
4,2,8,0.4722222222222222,0.5555555555555556
5,2,9,0.475,0.51
6,2,10,0.5000000000000001,0.5722222222222223
7,2,11,0.5104166666666667,0.53125
8,2,12,0.43888888888888894,0.5277777777777778
9,2,13,0.4382716049382716,0.5185185185185185
10,2,14,0.48,0.5028571428571429
11,2,15,0.4791666666666667,0.4739583333333333
12,2,16,0.4772727272727273,0.5056818181818182
13,2,17,0.5502645502645502,0.4656084656084656
14,2,18,0.5111111111111111,0.4444444444444445
15,2,19,0.5111111111111112,0.461111111111111
16,2,20,0.5833333333333334,0.5277777777777777
17,2,21,0.5614973262032086,0.5080213903743316
18,2,22,0.49431818181818177,0.4772727272727273
19,2,23,0.5444444444444444,0.43888888888888883
20,2,24,0.5055555555555555,0.5444444444444444
21,2,25,0.510989010989011,0.5164835164835164
22,2,26,0.5088757396449703,0.5088757396449703
23,2,27,0.47252747252747257,0.4945054945054944
24,2,28,0.5357142857142857,0.4880952380952381
25,2,29,0.5222222222222223,0.48333333333333334
26,2,30,0.5222222222222221,0.5944444444444444
27,2,31,0.45454545454545453,0.5056818181818182
28,2,32,0.4772727272727273,0.5170454545454546
29,2,33,0.5352941176470589,0.46470588235294114
30,2,34,0.46470588235294114,0.46470588235294114
31,2,35,0.5666666666666667,0.5277777777777778
32,2,36,0.5333333333333333,0.5055555555555555
33,2,37,0.5380116959064327,0.4444444444444444
34,2,38,0.6023391812865496,0.543859649122807
35,2,39,0.5111111111111111,0.538888888888889
36,2,40,0.5333333333333334,0.5444444444444445
37,2,41,0.4642857142857143,0.494047619047619
38,2,42,0.4880952380952381,0.49404761904761907
39,2,43,0.5397727272727273,0.5397727272727273
40,2,44,0.4772727272727273,0.42613636363636365
41,2,45,0.5217391304347826,0.5760869565217391
42,2,46,0.4782608695652174,0.45341614906832295
43,2,47,0.5238095238095238,0.4702380952380953
44,2,48,0.5476190476190476,0.5297619047619048
45,2,49,0.5476190476190476,0.5297619047619048
46,2,50,0.5371428571428571,0.5028571428571428
47,2,60,0.5388888888888889,0.5388888888888889
48,2,70,0.4742857142857143,0.4742857142857143
49,2,80,0.47500000000000003,0.46874999999999994
50,2,90,0.6,0.5277777777777777
51,2,100,0.6,0.5133333333333333
52,2,150,0.4866666666666667,0.5466666666666666
53,2,200,0.52,0.5700000000000001
54,2,250,0.552,0.52
