,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne,correct_predicted_percent_umap
0,1,4,0.68,0.54,0.675
1,1,5,0.5566666666666666,0.48333333333333345,0.6033333333333334
2,1,6,0.5900000000000001,0.49333333333333335,0.7333333333333333
3,1,7,0.6,0.5,0.7025
4,1,8,0.6175,0.52,0.7125
5,1,9,0.614,0.46,0.7439999999999999
6,1,10,0.5979999999999999,0.556,0.7639999999999998
7,1,11,0.635,0.54,0.7933333333333334
8,1,12,0.6916666666666665,0.5266666666666667,0.8283333333333333
9,1,13,0.6771428571428569,0.49857142857142855,0.8371428571428572
10,1,14,0.6814285714285715,0.4942857142857144,0.8442857142857143
11,1,15,0.71625,0.49,0.8525
12,1,16,0.73375,0.49625,0.8775
13,1,17,0.7288888888888888,0.49111111111111116,0.8722222222222222
14,1,18,0.7822222222222222,0.488888888888889,0.8955555555555555
15,1,19,0.77,0.5140000000000001,0.8740000000000002
16,1,20,0.791,0.5050000000000001,0.8960000000000002
17,1,21,0.8095693779904303,0.4727272727272728,0.910047846889952
18,1,22,0.7989898989898989,0.5131313131313131,0.8969696969696969
19,1,23,0.809108527131783,0.5145348837209304,0.9253875968992249
20,1,24,0.8202811244979921,0.49297188755020077,0.9156626506024096
21,1,25,0.8288461538461537,0.4673076923076923,0.9182692307692308
22,1,26,0.8633603238866394,0.4969635627530364,0.9331983805668016
23,1,27,0.8571428571428572,0.5154440154440154,0.9276061776061777
24,1,28,0.8571428571428571,0.4798792756539235,0.9265593561368212
25,1,29,0.8450980392156862,0.538235294117647,0.9431372549019609
26,1,30,0.8383838383838385,0.495959595959596,0.9343434343434343
27,1,31,0.875,0.5029296875,0.9189453125
28,1,32,0.8951612903225806,0.5766129032258065,0.9304435483870968
29,1,33,0.8784313725490196,0.6254901960784311,0.9343137254901961
30,1,34,0.885395537525355,0.7099391480730223,0.9219066937119674
31,1,35,0.8898635477582846,0.7495126705653022,0.9405458089668617
32,1,36,0.9141414141414141,0.7252525252525251,0.9414141414141413
33,1,37,0.902534113060429,0.787524366471735,0.9366471734892788
34,1,38,0.9190283400809717,0.8198380566801617,0.9504048582995951
35,1,39,0.9,0.8588235294117649,0.9480392156862747
36,1,40,0.889,0.8270000000000001,0.938
37,1,41,0.9186507936507938,0.8174603174603176,0.941468253968254
38,1,42,0.8885511651469098,0.8672745694022288,0.9402228976697059
39,1,43,0.9150197628458497,0.8962450592885375,0.9298418972332015
40,1,44,0.9121212121212121,0.8757575757575758,0.9313131313131312
41,1,45,0.9367588932806324,0.8883399209486165,0.948616600790514
42,1,46,0.9201213346814964,0.8816986855409504,0.9403437815975734
43,1,47,0.9126984126984128,0.8998015873015872,0.9523809523809526
44,1,48,0.9329268292682927,0.9095528455284553,0.9583333333333333
45,1,49,0.9469999999999998,0.9179999999999999,0.954
46,1,50,0.9099999999999999,0.916,0.942
47,1,60,0.9464646464646463,0.9282828282828283,0.9484848484848485
48,1,70,0.9510204081632654,0.9428571428571428,0.9540816326530612
49,1,80,0.951,0.934,0.9420000000000001
50,1,90,0.9515151515151515,0.9282828282828284,0.9505050505050505
51,1,100,0.9560000000000001,0.9580000000000002,0.9590000000000002
52,1,150,0.961025641025641,0.9569230769230769,0.9528205128205128
53,1,200,0.9570000000000001,0.96,0.968
54,1,250,0.968,0.961,0.963
