,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne,correct_predicted_percent_umap
0,0.5,4,0.75,0.47,0.69
1,0.5,5,0.6333333333333333,0.5133333333333333,0.6666666666666665
2,0.5,6,0.6333333333333333,0.49,0.8500000000000001
3,0.5,7,0.6725,0.475,0.82
4,0.5,8,0.71,0.5425,0.89
5,0.5,9,0.72,0.534,0.8379999999999999
6,0.5,10,0.758,0.518,0.9119999999999999
7,0.5,11,0.7299999999999999,0.49333333333333335,0.8849999999999999
8,0.5,12,0.8283333333333333,0.525,0.95
9,0.5,13,0.7999999999999998,0.5385714285714286,0.9485714285714287
10,0.5,14,0.8200000000000002,0.48857142857142855,0.9442857142857144
11,0.5,15,0.81125,0.525,0.945
12,0.5,16,0.85,0.50375,0.97125
13,0.5,17,0.8666666666666666,0.5077777777777779,0.9622222222222223
14,0.5,18,0.8822222222222221,0.5155555555555555,0.9566666666666666
15,0.5,19,0.8900000000000001,0.5,0.9570000000000002
16,0.5,20,0.9180000000000001,0.488,0.976
17,0.5,21,0.9033492822966506,0.4966507177033492,0.9626794258373204
18,0.5,22,0.903030303030303,0.488888888888889,0.9656565656565657
19,0.5,23,0.9147286821705427,0.5145348837209301,0.9670542635658915
20,0.5,24,0.9136546184738957,0.5481927710843374,0.9658634538152611
21,0.5,25,0.9067307692307693,0.5115384615384615,0.9711538461538461
22,0.5,26,0.9210526315789473,0.522267206477733,0.979757085020243
23,0.5,27,0.9324324324324325,0.4893822393822393,0.97007722007722
24,0.5,28,0.9255533199195172,0.4758551307847083,0.9647887323943662
25,0.5,29,0.9176470588235294,0.5,0.9666666666666669
26,0.5,30,0.9323232323232323,0.5111111111111111,0.9747474747474749
27,0.5,31,0.953125,0.5244140625,0.9716796875
28,0.5,32,0.9425403225806451,0.7127016129032258,0.9798387096774194
29,0.5,33,0.946078431372549,0.8245098039215684,0.9656862745098038
30,0.5,34,0.932048681541582,0.845841784989858,0.964503042596349
31,0.5,35,0.9483430799220272,0.8830409356725145,0.9727095516569201
32,0.5,36,0.9343434343434341,0.91010101010101,0.9666666666666668
33,0.5,37,0.953216374269006,0.9064327485380116,0.9746588693957116
34,0.5,38,0.951417004048583,0.9251012145748987,0.9706477732793523
35,0.5,39,0.9519607843137257,0.9549019607843139,0.9794117647058824
36,0.5,40,0.94,0.9540000000000001,0.9570000000000001
37,0.5,41,0.9662698412698414,0.9454365079365079,0.9781746031746033
38,0.5,42,0.9503546099290778,0.9503546099290778,0.9766970618034446
39,0.5,43,0.9565217391304348,0.9545454545454547,0.9664031620553359
40,0.5,44,0.9626262626262627,0.9676767676767677,0.9727272727272728
41,0.5,45,0.9565217391304348,0.9624505928853755,0.9782608695652175
42,0.5,46,0.9565217391304349,0.9565217391304348,0.9706774519716886
43,0.5,47,0.951388888888889,0.9662698412698412,0.9771825396825397
44,0.5,48,0.9593495934959348,0.9644308943089432,0.9827235772357725
45,0.5,49,0.968,0.9629999999999999,0.9730000000000001
46,0.5,50,0.9489999999999998,0.9560000000000001,0.9620000000000001
47,0.5,60,0.9565656565656565,0.9676767676767677,0.9737373737373737
48,0.5,70,0.960204081632653,0.9673469387755101,0.9714285714285715
49,0.5,80,0.9640000000000001,0.977,0.973
50,0.5,90,0.9535353535353536,0.9696969696969698,0.9636363636363637
51,0.5,100,0.9549999999999998,0.9720000000000001,0.976
52,0.5,150,0.962051282051282,0.9753846153846154,0.9733333333333333
53,0.5,200,0.967,0.9860000000000001,0.9850000000000001
54,0.5,250,0.968,0.986,0.991
