,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne,correct_predicted_percent_umap
0,0.7,4,0.5833333333333334,0.5333333333333333,0.5611111111111111
1,0.7,5,0.6157407407407409,0.5277777777777779,0.5462962962962963
2,0.7,6,0.5611111111111112,0.4777777777777778,0.5611111111111112
3,0.7,7,0.5294117647058824,0.45588235294117646,0.5980392156862745
4,0.7,8,0.55,0.5388888888888889,0.6666666666666666
5,0.7,9,0.55,0.445,0.555
6,0.7,10,0.6333333333333334,0.4388888888888889,0.7055555555555556
7,0.7,11,0.6041666666666667,0.47916666666666674,0.6979166666666667
8,0.7,12,0.5944444444444446,0.4444444444444445,0.6888888888888888
9,0.7,13,0.5925925925925926,0.47530864197530864,0.6604938271604939
10,0.7,14,0.6114285714285714,0.4857142857142857,0.6857142857142857
11,0.7,15,0.6510416666666666,0.5625,0.7864583333333334
12,0.7,16,0.6988636363636364,0.4772727272727273,0.7215909090909091
13,0.7,17,0.6931216931216932,0.47619047619047616,0.6719576719576719
14,0.7,18,0.6444444444444446,0.45555555555555555,0.7166666666666667
15,0.7,19,0.6222222222222222,0.4833333333333333,0.7500000000000001
16,0.7,20,0.75,0.5,0.6944444444444444
17,0.7,21,0.6844919786096257,0.4973262032085562,0.7540106951871658
18,0.7,22,0.7215909090909092,0.5511363636363635,0.7102272727272727
19,0.7,23,0.7055555555555556,0.48888888888888893,0.8222222222222222
20,0.7,24,0.7166666666666667,0.5222222222222223,0.727777777777778
21,0.7,25,0.6868131868131868,0.48351648351648346,0.8131868131868133
22,0.7,26,0.6863905325443788,0.4852071005917159,0.7159763313609466
23,0.7,27,0.7472527472527472,0.5824175824175823,0.7197802197802198
24,0.7,28,0.7321428571428571,0.4702380952380952,0.7797619047619047
25,0.7,29,0.7055555555555557,0.5222222222222223,0.7944444444444444
26,0.7,30,0.7666666666666667,0.4833333333333334,0.7888888888888889
27,0.7,31,0.75,0.5056818181818182,0.7556818181818182
28,0.7,32,0.7386363636363636,0.4318181818181818,0.6761363636363636
29,0.7,33,0.7941176470588236,0.5,0.7235294117647059
30,0.7,34,0.8294117647058824,0.488235294117647,0.7941176470588236
31,0.7,35,0.7555555555555555,0.5222222222222224,0.8333333333333334
32,0.7,36,0.8222222222222222,0.55,0.7944444444444445
33,0.7,37,0.8187134502923976,0.6023391812865497,0.8128654970760233
34,0.7,38,0.847953216374269,0.6023391812865497,0.8713450292397662
35,0.7,39,0.7055555555555555,0.5222222222222221,0.811111111111111
36,0.7,40,0.7388888888888888,0.6,0.7333333333333333
37,0.7,41,0.75,0.6547619047619047,0.8095238095238095
38,0.7,42,0.8214285714285714,0.6785714285714286,0.75
39,0.7,43,0.8352272727272727,0.7329545454545454,0.8295454545454546
40,0.7,44,0.7784090909090909,0.6420454545454546,0.7784090909090908
41,0.7,45,0.7934782608695652,0.7554347826086956,0.766304347826087
42,0.7,46,0.8322981366459626,0.6956521739130436,0.813664596273292
43,0.7,47,0.863095238095238,0.654761904761905,0.8392857142857143
44,0.7,48,0.8571428571428571,0.6845238095238094,0.8154761904761906
45,0.7,49,0.8571428571428571,0.6845238095238094,0.8511904761904762
46,0.7,50,0.8514285714285714,0.8285714285714285,0.9085714285714285
47,0.7,60,0.9277777777777777,0.7666666666666666,0.8500000000000001
48,0.7,70,0.8057142857142857,0.8628571428571428,0.9085714285714286
49,0.7,80,0.9187500000000001,0.88125,0.8750000000000001
50,0.7,90,0.8888888888888888,0.8722222222222221,0.8833333333333333
51,0.7,100,0.8933333333333332,0.8666666666666667,0.8666666666666667
52,0.7,150,0.9533333333333334,0.9133333333333333,0.9266666666666666
53,0.7,200,0.96,0.91,0.9299999999999999
54,0.7,250,0.944,0.92,0.928
