,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne,correct_predicted_percent_umap
0,0.2,4,0.7055555555555556,0.5444444444444444,0.6833333333333333
1,0.2,5,0.7407407407407408,0.5092592592592593,0.7083333333333334
2,0.2,6,0.8388888888888888,0.4944444444444445,0.8777777777777779
3,0.2,7,0.696078431372549,0.4950980392156863,0.75
4,0.2,8,0.8277777777777777,0.5166666666666667,0.9
5,0.2,9,0.82,0.5050000000000001,0.865
6,0.2,10,0.9222222222222223,0.46666666666666656,0.9611111111111109
7,0.2,11,0.9010416666666667,0.515625,0.9583333333333334
8,0.2,12,0.9166666666666666,0.48888888888888893,0.9722222222222221
9,0.2,13,0.9135802469135803,0.5000000000000001,0.9753086419753088
10,0.2,14,0.9085714285714288,0.5085714285714286,0.9485714285714286
11,0.2,15,0.9322916666666666,0.5520833333333334,0.9791666666666666
12,0.2,16,0.9772727272727273,0.5,0.9715909090909091
13,0.2,17,0.9470899470899471,0.5661375661375662,0.9682539682539681
14,0.2,18,0.9166666666666667,0.49444444444444446,0.9555555555555555
15,0.2,19,0.9444444444444444,0.5,0.9611111111111109
16,0.2,20,0.9666666666666666,0.47777777777777775,0.9888888888888889
17,0.2,21,0.9358288770053476,0.4919786096256684,0.9625668449197861
18,0.2,22,0.9488636363636364,0.4431818181818181,0.9829545454545454
19,0.2,23,0.9666666666666666,0.49444444444444446,0.9777777777777779
20,0.2,24,0.9944444444444444,0.49444444444444446,1.0
21,0.2,25,0.9835164835164836,0.4450549450549451,1.0
22,0.2,26,0.9822485207100592,0.46153846153846156,0.9940828402366864
23,0.2,27,0.9780219780219781,0.49999999999999994,0.989010989010989
24,0.2,28,0.9523809523809524,0.5059523809523808,0.9583333333333334
25,0.2,29,0.9722222222222222,0.4777777777777777,0.9777777777777777
26,0.2,30,0.9888888888888889,0.5055555555555555,1.0
27,0.2,31,0.9772727272727273,0.5056818181818182,1.0
28,0.2,32,0.9829545454545454,0.5738636363636364,0.9943181818181818
29,0.2,33,0.9823529411764707,0.6411764705882353,0.9764705882352942
30,0.2,34,0.9941176470588236,0.7176470588235293,1.0
31,0.2,35,0.9833333333333334,0.7555555555555555,0.9944444444444445
32,0.2,36,0.9777777777777779,0.8277777777777778,0.9888888888888889
33,0.2,37,0.976608187134503,0.8304093567251463,1.0
34,0.2,38,0.9824561403508772,0.9239766081871346,0.9941520467836258
35,0.2,39,0.9500000000000001,0.9055555555555556,1.0
36,0.2,40,0.9944444444444444,0.9611111111111111,0.9944444444444444
37,0.2,41,0.9702380952380951,0.9821428571428572,1.0
38,0.2,42,0.9821428571428572,0.9464285714285714,1.0
39,0.2,43,0.9659090909090909,0.9715909090909092,0.9886363636363636
40,0.2,44,0.9886363636363636,0.9886363636363636,0.9886363636363636
41,0.2,45,0.9673913043478262,0.9673913043478262,0.9891304347826086
42,0.2,46,0.9937888198757764,0.9875776397515528,1.0
43,0.2,47,0.988095238095238,0.988095238095238,1.0
44,0.2,48,0.9761904761904762,0.9880952380952381,0.9880952380952381
45,0.2,49,0.9761904761904762,0.9880952380952381,0.9880952380952381
46,0.2,50,0.9885714285714285,0.9942857142857143,1.0
47,0.2,60,0.9888888888888889,1.0,1.0
48,0.2,70,0.9942857142857143,1.0,1.0
49,0.2,80,0.9875,1.0,1.0
50,0.2,90,0.9888888888888889,1.0,1.0
51,0.2,100,0.98,1.0,1.0
52,0.2,150,0.9933333333333334,1.0,1.0
53,0.2,200,1.0,1.0,1.0
54,0.2,250,0.992,1.0,1.0
