,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne,correct_predicted_percent_umap
0,0,4,0.7444444444444445,0.49444444444444446,0.7111111111111111
1,0,5,0.7777777777777778,0.5416666666666666,0.7546296296296295
2,0,6,0.85,0.4555555555555557,0.8833333333333333
3,0,7,0.7647058823529411,0.5,0.7745098039215687
4,0,8,0.8611111111111112,0.5555555555555556,0.9222222222222223
5,0,9,0.8399999999999999,0.51,0.9
6,0,10,0.9444444444444444,0.5611111111111112,0.9777777777777779
7,0,11,0.9010416666666667,0.5260416666666667,0.9739583333333334
8,0,12,0.9444444444444444,0.5277777777777779,0.9555555555555556
9,0,13,0.9444444444444444,0.5246913580246914,0.9753086419753088
10,0,14,0.9085714285714286,0.5314285714285714,0.9600000000000002
11,0,15,0.9479166666666666,0.4895833333333333,0.9739583333333334
12,0,16,0.9715909090909091,0.5,0.9886363636363636
13,0,17,0.9470899470899471,0.5502645502645503,0.9735449735449735
14,0,18,0.9444444444444444,0.48888888888888876,0.9833333333333334
15,0,19,0.9611111111111111,0.5111111111111111,0.9611111111111109
16,0,20,0.9888888888888889,0.5111111111111112,0.9888888888888889
17,0,21,0.9465240641711229,0.5454545454545454,0.9679144385026739
18,0,22,0.9715909090909092,0.5568181818181819,0.9943181818181819
19,0,23,0.9611111111111111,0.5055555555555555,0.9722222222222221
20,0,24,0.9888888888888889,0.5000000000000001,0.9944444444444444
21,0,25,0.9945054945054945,0.5384615384615384,1.0
22,0,26,0.9940828402366864,0.5621301775147928,0.9940828402366864
23,0,27,0.989010989010989,0.478021978021978,0.9835164835164836
24,0,28,0.9583333333333334,0.5238095238095237,0.9761904761904763
25,0,29,0.9722222222222222,0.6,0.9944444444444445
26,0,30,0.9833333333333334,0.4666666666666666,0.9944444444444445
27,0,31,0.9829545454545454,0.4090909090909091,0.9886363636363636
28,0,32,0.9943181818181818,0.6420454545454546,1.0
29,0,33,0.9823529411764707,0.823529411764706,0.9941176470588236
30,0,34,0.9882352941176471,0.9117647058823529,1.0
31,0,35,0.9722222222222223,0.9166666666666666,1.0
32,0,36,0.9722222222222223,0.85,0.9888888888888889
33,0,37,0.976608187134503,0.9707602339181286,1.0
34,0,38,0.9941520467836258,0.9532163742690059,0.9941520467836258
35,0,39,0.9888888888888889,0.9166666666666666,1.0
36,0,40,0.9888888888888889,0.9666666666666666,1.0
37,0,41,0.9702380952380951,0.9761904761904762,1.0
38,0,42,0.9880952380952381,0.9821428571428572,1.0
39,0,43,0.9715909090909092,0.9886363636363636,0.9886363636363636
40,0,44,0.9943181818181819,0.9772727272727273,0.9886363636363636
41,0,45,0.9619565217391305,0.9891304347826086,0.9945652173913043
42,0,46,0.9937888198757764,1.0,1.0
43,0,47,0.994047619047619,0.994047619047619,1.0
44,0,48,0.9821428571428571,0.9880952380952381,0.9880952380952381
45,0,49,0.9821428571428571,0.9880952380952381,0.9880952380952381
46,0,50,0.9771428571428571,0.9885714285714285,1.0
47,0,60,0.9944444444444445,1.0,0.9500000000000001
48,0,70,0.9942857142857143,1.0,1.0
49,0,80,0.9875,1.0,0.95
50,0,90,0.9888888888888889,1.0,1.0
51,0,100,0.9866666666666667,1.0,1.0
52,0,150,0.9866666666666667,1.0,1.0
53,0,200,1.0,1.0,1.0
54,0,250,0.992,1.0,1.0
