,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne,correct_predicted_percent_umap
0,1,4,0.575,0.43333333333333335,0.5583333333333333
1,1,5,0.5486111111111113,0.4583333333333333,0.4722222222222223
2,1,6,0.55,0.5,0.5416666666666667
3,1,7,0.5367647058823529,0.5073529411764706,0.5661764705882353
4,1,8,0.5166666666666667,0.5333333333333333,0.5666666666666667
5,1,9,0.5923076923076922,0.4923076923076923,0.5615384615384615
6,1,10,0.6750000000000002,0.45,0.6
7,1,11,0.5555555555555555,0.42063492063492064,0.5238095238095237
8,1,12,0.6416666666666667,0.5750000000000001,0.6166666666666667
9,1,13,0.5396825396825397,0.5873015873015873,0.46825396825396826
10,1,14,0.6134453781512605,0.5294117647058824,0.4957983193277311
11,1,15,0.5625,0.4765625,0.5546875
12,1,16,0.5833333333333334,0.4583333333333333,0.6166666666666667
13,1,17,0.5634920634920635,0.4523809523809524,0.5317460317460319
14,1,18,0.47863247863247865,0.4871794871794872,0.46153846153846156
15,1,19,0.5583333333333333,0.5666666666666665,0.5583333333333332
16,1,20,0.5583333333333332,0.48333333333333334,0.55
17,1,21,0.6033057851239669,0.4462809917355371,0.5537190082644627
18,1,22,0.5727272727272726,0.5181818181818182,0.5272727272727272
19,1,23,0.5833333333333334,0.5083333333333334,0.625
20,1,24,0.4499999999999999,0.5083333333333333,0.6083333333333334
21,1,25,0.5897435897435898,0.49572649572649574,0.5213675213675213
22,1,26,0.6752136752136753,0.4786324786324787,0.6068376068376068
23,1,27,0.6696428571428571,0.5089285714285714,0.5803571428571428
24,1,28,0.6428571428571428,0.4375,0.5892857142857142
25,1,29,0.6333333333333333,0.5583333333333333,0.6333333333333334
26,1,30,0.5083333333333333,0.5083333333333333,0.55
27,1,31,0.5047619047619047,0.5047619047619049,0.5047619047619047
28,1,32,0.6428571428571429,0.5714285714285714,0.5535714285714286
29,1,33,0.5714285714285714,0.5630252100840336,0.6386554621848738
30,1,34,0.638655462184874,0.5798319327731092,0.5210084033613446
31,1,35,0.6111111111111112,0.5,0.49074074074074076
32,1,36,0.6111111111111113,0.5555555555555556,0.6481481481481483
33,1,37,0.5701754385964911,0.46491228070175444,0.587719298245614
34,1,38,0.5877192982456142,0.4736842105263159,0.6578947368421053
35,1,39,0.7333333333333333,0.4916666666666667,0.6333333333333333
36,1,40,0.7166666666666667,0.5583333333333333,0.5916666666666667
37,1,41,0.6476190476190476,0.6,0.44761904761904764
38,1,42,0.6285714285714286,0.6190476190476191,0.5619047619047619
39,1,43,0.5272727272727272,0.4545454545454546,0.5454545454545454
40,1,44,0.5454545454545454,0.5181818181818182,0.5454545454545454
41,1,45,0.6260869565217391,0.5739130434782609,0.5913043478260869
42,1,46,0.6086956521739131,0.5478260869565218,0.5826086956521739
43,1,47,0.5916666666666667,0.4833333333333333,0.6083333333333334
44,1,48,0.6083333333333332,0.5916666666666666,0.575
45,1,49,0.61,0.6,0.5700000000000001
46,1,50,0.52,0.5700000000000001,0.6000000000000001
47,1,60,0.575,0.5916666666666667,0.7
48,1,70,0.49523809523809526,0.6285714285714286,0.5523809523809523
49,1,80,0.5916666666666667,0.5499999999999999,0.5333333333333333
50,1,90,0.7444444444444445,0.6333333333333333,0.6444444444444444
51,1,100,0.6399999999999999,0.5900000000000001,0.6599999999999999
52,1,150,0.7466666666666666,0.7333333333333334,0.5866666666666667
53,1,200,0.64,0.64,0.63
