,Noise_sigma,data_points_number,correct_predicted_percent_pca
0,0,4,0.51
1,0,5,0.47333333333333344
2,0,6,0.5833333333333334
3,0,7,0.5775
4,0,8,0.54
5,0,9,0.566
6,0,10,0.5599999999999999
7,0,11,0.6133333333333333
8,0,12,0.5716666666666668
9,0,13,0.5542857142857143
10,0,14,0.5357142857142858
11,0,15,0.535
12,0,16,0.53625
13,0,17,0.5544444444444445
14,0,18,0.52
15,0,19,0.5319999999999999
16,0,20,0.5199999999999999
17,0,21,0.5636363636363636
18,0,22,0.51
19,0,23,0.5233333333333334
20,0,24,0.5033333333333333
21,0,25,0.5553846153846154
22,0,26,0.5315384615384615
23,0,27,0.5315384615384615
24,0,28,0.5214285714285714
25,0,29,0.48733333333333334
26,0,30,0.5346666666666667
27,0,31,0.52125
28,0,32,0.513125
29,0,33,0.5294117647058824
30,0,34,0.5411764705882353
31,0,35,0.5216666666666666
32,0,36,0.5
33,0,37,0.5110526315789473
34,0,38,0.5215789473684211
35,0,39,0.5155000000000001
36,0,40,0.5235
37,0,41,0.5204761904761904
38,0,42,0.5233333333333333
39,0,43,0.5104545454545455
40,0,44,0.5190909090909092
41,0,45,0.5100000000000001
42,0,46,0.548695652173913
43,0,47,0.5012500000000001
44,0,48,0.5170833333333333
45,0,49,0.5170833333333333
46,0,50,0.504
47,0,60,0.5136666666666667
48,0,70,0.5234285714285715
49,0,80,0.5007499999999999
50,0,90,0.5255555555555556
51,0,100,0.509
52,0,150,0.5015
53,0,200,0.5028333333333335
54,0,250,0.505
