,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_umap
0,1,4,0.48,0.58
1,1,5,0.5000000000000001,0.6500000000000001
2,1,6,0.7933333333333334,0.4266666666666667
3,1,7,0.7175,0.46
4,1,8,0.6975,0.505
5,1,9,0.652,0.462
6,1,10,0.6980000000000001,0.458
7,1,11,0.6316666666666666,0.46
8,1,12,0.675,0.4933333333333333
9,1,13,0.6542857142857144,0.5042857142857143
10,1,14,0.6414285714285713,0.4542857142857144
11,1,15,0.65,0.49875
12,1,16,0.61625,0.48
13,1,17,0.6044444444444445,0.51
14,1,18,0.5766666666666667,0.48555555555555563
15,1,19,0.5870000000000001,0.4789999999999999
16,1,20,0.581,0.4820000000000001
17,1,21,0.616267942583732,0.4746411483253588
18,1,22,0.5787878787878787,0.47676767676767684
19,1,23,0.6036821705426356,0.4883720930232558
20,1,24,0.5753012048192772,0.4688755020080321
21,1,25,0.5673076923076923,0.4875
22,1,26,0.5789473684210527,0.4716599190283402
23,1,27,0.5859073359073359,0.4787644787644787
24,1,28,0.5653923541247485,0.46277665995975853
25,1,29,0.5784313725490197,0.5068627450980392
26,1,30,0.598989898989899,0.4666666666666667
27,1,31,0.578125,0.4951171875
28,1,32,0.5483870967741935,0.49294354838709675
29,1,33,0.5823529411764706,0.47450980392156855
30,1,34,0.5618661257606492,0.5182555780933062
31,1,35,0.584795321637427,0.49220272904483425
32,1,36,0.5696969696969697,0.5181818181818181
33,1,37,0.5536062378167641,0.46393762183235865
34,1,38,0.5414979757085021,0.4858299595141701
35,1,39,0.5343137254901961,0.4931372549019608
36,1,40,0.557,0.47700000000000004
37,1,41,0.566468253968254,0.501984126984127
38,1,42,0.5491388044579534,0.5075987841945288
39,1,43,0.5385375494071145,0.4901185770750989
40,1,44,0.5474747474747474,0.4919191919191919
41,1,45,0.5563241106719367,0.5108695652173914
42,1,46,0.5702730030333671,0.5278058645096058
43,1,47,0.5496031746031746,0.49900793650793657
44,1,48,0.5010162601626017,0.4725609756097561
45,1,49,0.516,0.476
46,1,50,0.572,0.512
47,1,60,0.5171717171717172,0.4919191919191919
48,1,70,0.5040816326530612,0.49489795918367346
49,1,80,0.512,0.508
50,1,90,0.507070707070707,0.498989898989899
51,1,100,0.54,0.507
52,1,150,0.483076923076923,0.49025641025641026
53,1,200,0.506,0.506
54,1,250,0.528,0.51
