,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_trimap,correct_predicted_percent_tsne,correct_predicted_percent_umap
0,1,4,0.5833333333333334,0.5666666666666667,0.45,0.4666666666666667
1,1,5,0.5625000000000001,0.5555555555555556,0.5069444444444445,0.5069444444444445
2,1,6,0.5416666666666667,0.5583333333333333,0.4916666666666667,0.4833333333333334
3,1,7,0.49264705882352944,0.5735294117647058,0.5220588235294118,0.5147058823529411
4,1,8,0.5416666666666666,0.475,0.5,0.6
5,1,9,0.5923076923076922,0.5,0.4846153846153846,0.5153846153846153
6,1,10,0.6750000000000002,0.5583333333333333,0.5416666666666666,0.5499999999999999
7,1,11,0.5396825396825397,0.4920634920634921,0.42063492063492064,0.5238095238095238
8,1,12,0.5666666666666668,0.5916666666666668,0.5416666666666665,0.5333333333333333
9,1,13,0.5793650793650793,0.5238095238095238,0.5317460317460317,0.47619047619047616
10,1,14,0.689075630252101,0.5630252100840337,0.46218487394957974,0.5630252100840336
11,1,15,0.5625,0.6171875,0.5546875,0.6015625
12,1,16,0.6166666666666667,0.6416666666666667,0.49166666666666664,0.5166666666666667
13,1,17,0.5952380952380952,0.5555555555555556,0.5238095238095238,0.507936507936508
14,1,18,0.47863247863247865,0.5384615384615385,0.4786324786324786,0.5128205128205129
15,1,19,0.6250000000000001,0.6083333333333333,0.5166666666666666,0.55
16,1,20,0.5666666666666667,0.6249999999999999,0.47500000000000003,0.48333333333333345
17,1,21,0.6694214876033058,0.5867768595041322,0.4049586776859504,0.6115702479338844
18,1,22,0.5454545454545453,0.590909090909091,0.5181818181818182,0.5181818181818181
19,1,23,0.5666666666666667,0.6166666666666667,0.4833333333333333,0.575
20,1,24,0.5916666666666666,0.5916666666666666,0.4833333333333333,0.6
21,1,25,0.6324786324786326,0.5384615384615385,0.5726495726495727,0.4700854700854701
22,1,26,0.5726495726495726,0.5982905982905983,0.46153846153846156,0.5299145299145299
23,1,27,0.5982142857142857,0.5714285714285714,0.44642857142857145,0.6785714285714286
24,1,28,0.5892857142857142,0.6428571428571428,0.4910714285714285,0.5089285714285714
25,1,29,0.6416666666666666,0.5416666666666667,0.5083333333333333,0.5833333333333333
26,1,30,0.5333333333333333,0.6500000000000001,0.5249999999999999,0.47500000000000003
27,1,31,0.5333333333333333,0.6476190476190476,0.4952380952380952,0.580952380952381
28,1,32,0.6339285714285714,0.6696428571428571,0.49107142857142855,0.5267857142857143
29,1,33,0.5378151260504201,0.6554621848739496,0.5546218487394958,0.6218487394957984
30,1,34,0.6134453781512604,0.7142857142857143,0.5714285714285714,0.546218487394958
31,1,35,0.5925925925925926,0.6481481481481483,0.4351851851851853,0.6296296296296297
32,1,36,0.6666666666666666,0.638888888888889,0.49074074074074076,0.5555555555555556
33,1,37,0.6228070175438597,0.7280701754385964,0.5350877192982456,0.5701754385964912
34,1,38,0.6140350877192983,0.5964912280701754,0.5087719298245615,0.6228070175438596
35,1,39,0.575,0.6083333333333334,0.49166666666666664,0.5333333333333333
36,1,40,0.6833333333333332,0.7666666666666666,0.5666666666666668,0.5833333333333334
37,1,41,0.6190476190476191,0.6,0.5333333333333334,0.6952380952380952
38,1,42,0.5904761904761904,0.6761904761904762,0.44761904761904764,0.6
39,1,43,0.509090909090909,0.7727272727272728,0.4909090909090909,0.509090909090909
40,1,44,0.5818181818181818,0.6727272727272726,0.5545454545454546,0.5909090909090909
41,1,45,0.6260869565217392,0.6608695652173914,0.5739130434782609,0.5913043478260869
42,1,46,0.5652173913043479,0.6956521739130436,0.582608695652174,0.5739130434782609
43,1,47,0.6,0.6666666666666667,0.55,0.575
44,1,48,0.5333333333333332,0.6666666666666666,0.575,0.65
45,1,49,0.61,0.66,0.5399999999999999,0.62
46,1,50,0.51,0.6499999999999999,0.46,0.5700000000000001
47,1,60,0.5833333333333334,0.5916666666666667,0.6083333333333334,0.625
48,1,70,0.6095238095238095,0.7809523809523808,0.638095238095238,0.5333333333333333
49,1,80,0.7333333333333334,0.5666666666666668,0.5583333333333333,0.5916666666666667
50,1,90,0.7222222222222223,0.7222222222222223,0.5777777777777777,0.6555555555555556
51,1,100,0.61,0.62,0.52,0.6499999999999999
52,1,150,0.7066666666666667,0.7333333333333334,0.72,0.7333333333333334
53,1,200,0.6599999999999999,0.7,0.55,0.64
