,Noise_sigma,data_points_number,correct_predicted_percent_pca,correct_predicted_percent_tsne,correct_predicted_percent_umap
0,0.5,4,0.6283783783783784,0.5,0.6891891891891891
1,0.5,5,0.6944444444444445,0.5111111111111112,0.6944444444444445
2,0.5,6,0.6933333333333335,0.46666666666666673,0.7666666666666666
3,0.5,7,0.6071428571428571,0.5297619047619048,0.7440476190476191
4,0.5,8,0.6554054054054054,0.6081081081081081,0.7635135135135135
5,0.5,9,0.5878787878787879,0.6060606060606061,0.7151515151515152
6,0.5,10,0.7200000000000001,0.4399999999999999,0.8200000000000002
7,0.5,11,0.7222222222222222,0.4876543209876544,0.8024691358024691
8,0.5,12,0.7266666666666667,0.49333333333333335,0.8266666666666667
9,0.5,13,0.7246376811594202,0.5000000000000001,0.7753623188405798
10,0.5,14,0.7006802721088436,0.4557823129251701,0.7755102040816326
11,0.5,15,0.8375,0.53125,0.83125
12,0.5,16,0.8680555555555556,0.4652777777777778,0.8680555555555556
13,0.5,17,0.7189542483660131,0.4117647058823529,0.7973856209150326
14,0.5,18,0.8194444444444444,0.4930555555555556,0.8888888888888888
15,0.5,19,0.8066666666666666,0.47333333333333344,0.8533333333333334
16,0.5,20,0.7333333333333335,0.5733333333333334,0.8600000000000001
17,0.5,21,0.7532467532467532,0.4675324675324675,0.8636363636363635
18,0.5,22,0.8111888111888111,0.4055944055944056,0.9510489510489509
19,0.5,23,0.878205128205128,0.4807692307692307,0.8461538461538461
20,0.5,24,0.9444444444444443,0.4861111111111111,0.9652777777777777
21,0.5,25,0.8717948717948718,0.5256410256410257,0.9102564102564105
22,0.5,26,0.8671328671328671,0.5034965034965034,0.9090909090909091
23,0.5,27,0.8961038961038962,0.5649350649350651,0.9285714285714285
24,0.5,28,0.85,0.5214285714285716,0.8
25,0.5,29,0.9000000000000001,0.48,0.9466666666666669
26,0.5,30,0.8600000000000001,0.5466666666666666,0.9200000000000002
27,0.5,31,0.8888888888888888,0.5277777777777778,0.9305555555555556
28,0.5,32,0.9027777777777778,0.5486111111111112,0.9305555555555556
29,0.5,33,0.9215686274509802,0.6143790849673203,0.9411764705882353
30,0.5,34,0.926470588235294,0.6544117647058824,0.9338235294117647
31,0.5,35,0.9166666666666667,0.7291666666666667,0.9583333333333334
32,0.5,36,0.9444444444444444,0.6666666666666667,0.8680555555555556
33,0.5,37,0.9605263157894737,0.756578947368421,0.9671052631578947
34,0.5,38,0.962406015037594,0.8270676691729324,0.9699248120300753
35,0.5,39,0.9,0.8,0.9428571428571428
36,0.5,40,0.8928571428571429,0.8785714285714287,0.9571428571428572
37,0.5,41,0.8775510204081634,0.7755102040816327,0.9591836734693878
38,0.5,42,0.9047619047619049,0.7891156462585034,0.9183673469387754
39,0.5,43,0.9166666666666666,0.8863636363636364,0.9242424242424242
40,0.5,44,0.9469696969696969,0.8939393939393939,0.9545454545454547
41,0.5,45,0.8913043478260869,0.7246376811594203,0.9710144927536232
42,0.5,46,0.927536231884058,0.7898550724637681,0.9637681159420289
43,0.5,47,0.9236111111111112,0.875,0.9791666666666666
44,0.5,48,0.9583333333333334,0.9097222222222223,0.9652777777777778
45,0.5,49,0.9583333333333334,0.9097222222222223,0.9791666666666666
46,0.5,50,0.9333333333333332,0.9266666666666666,0.98
47,0.5,60,0.9466666666666667,0.8933333333333333,0.96
48,0.5,70,0.9571428571428571,0.9571428571428571,0.9857142857142858
49,0.5,80,0.975,0.9416666666666668,0.9666666666666667
50,0.5,90,0.9629629629629631,0.9703703703703704,0.9629629629629629
51,0.5,100,0.94,0.9666666666666667,0.96
52,0.5,150,0.98,0.98,0.9666666666666667
53,0.5,200,0.98,0.97,0.98
54,0.5,250,0.952,0.976,0.96
